Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8420187,0,7.447,3453.759
find,0,8386483,0,0.095,3456.802
find,1,8613926,0,6.255,3434.016
find,1,8601684,0,0.099,3421.283
find,2,8580832,0,5.015,3417.741
find,2,8630184,0,5.204,3413.99
find,3,8678333,0,0.051,3404.572
find,3,8699177,0,0.047,3403.057
find,3,8749524,0,0.05,3397.602
insert,0,11741354,11741354,0.052,846.028
insert,0,11765911,11765911,0.082,847.082
insert,1,12681339,12681339,0.06,526.215
insert,2,12528351,12528351,0.053,491.554
insert,2,12671536,12671536,0.054,508.046
insert,3,12855334,12855334,0.053,473.252
new,1,11872849,11872849,0.06,803.466
