Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,1,8589278,0,0.09,3422.783
find,2,8634285,0,0.033,3410.571
find,3,8717862,0,0.051,3395.305
find,3,8712535,0,0.056,3395.948
insert,0,12575055,12575055,0.065,559.154
insert,0,12557092,12557092,0.088,558.914
insert,0,12603613,12603613,0.068,560.151
insert,1,12677759,12677759,0.054,521.821
insert,1,12697070,12697070,0.064,529.725
insert,1,12437367,12437367,0.049,519.451
insert,2,12763727,12763727,0.054,501.35
insert,2,12749006,12749006,0.056,504.523
insert,2,12740605,12740605,0.049,503.721
insert,3,13512322,13512322,0.049,498.896
insert,3,12802034,12802034,3.119,477.055
new,0,8482959,0,0.09,3433.139
