Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,12836124,0,1.077,4310.159
find,1,7929480,0,1.813,2665.433
find,2,13013051,0,0.056,4266.499
find,2,13080671,0,5.185,4268.804
insert,0,16313102,16313102,0.138,892.566
insert,0,16325976,16325976,0.054,892.414
insert,1,16218388,16218388,4.289,822.393
insert,1,16505147,16505147,0.057,829.33
insert,1,16691183,16691183,0.047,763.446
insert,2,17109593,17109593,0.051,629.709
insert,2,16999884,16999884,0.027,637.015
new,0,16303833,16303833,0.056,890.96
