Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,51985,0.638,3133.41,3118.0
find,0,51896,3.145,3134.307,3119.0
find,1,26342531,0.02,416.478,3152.0
find,1,26456462,0.027,417.076,3156.0
find,1,26424851,0.045,416.698,3149.0
find,1,26371623,0.026,416.929,3149.0
find,2,26346805,0.082,417.443,3148.0
find,2,26346789,0.019,416.764,3147.0
find,2,26325346,0.021,416.702,3148.0
find,2,26388848,0.016,416.982,3149.0
find,3,26339267,0.029,417.02,3150.0
find,3,26326752,0.031,416.906,3147.0
find,3,26351481,0.018,416.577,3147.0
find,3,26365610,0.04,416.301,3148.0
insert,0,14205280,0.043,1617.975,3153.0
insert,0,14241373,0.748,1615.632,3153.0
