Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,43157812,0,4.948,3558.201
insert,0,28361160,28361160,0.054,1294.184
insert,0,28874891,28874891,0.062,1110.257
insert,0,28435322,28435322,0.05,1095.445
insert,0,28775487,28775487,0.074,1266.411
insert,0,28325117,28325117,4.726,1290.259
insert,0,28836957,28836957,0.062,1095.602
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,43157812,0,4.948,3558.201
insert,0,28361160,28361160,0.054,1294.184
insert,0,28874891,28874891,0.062,1110.257
insert,0,28435322,28435322,0.05,1095.445
insert,0,28775487,28775487,0.074,1266.411
insert,0,28325117,28325117,4.726,1290.259
insert,0,28836957,28836957,0.062,1095.602
