Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,5439021,0,3.105,2326.811
find,0,8410798,0,0.069,3448.873
find,0,8421681,0,0.117,3449.255
find,1,8485969,0,0.072,3437.371
find,1,8564706,0,0.047,3424.828
find,1,8491493,0,0.058,3435.675
find,2,8669911,0,0.062,3397.711
find,2,8717241,0,0.049,3397.633
find,2,8685892,0,2.116,3393.618
find,3,8615543,0,0.054,3415.688
find,3,8646700,0,0.046,3409.132
insert,0,11274279,11274279,0.089,1012.567
insert,1,12289580,12289580,0.051,662.86
insert,2,10910334,10910334,0.027,400.829
insert,3,12229354,12229354,0.057,597.641
new,3,11924618,11924618,0.029,747.429
