Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8431096,0,0.066,3449.382
find,0,7986526,0,0.067,3523.781
find,0,7970651,0,4.999,3533.262
find,1,8509763,0,0.074,3439.758
find,1,8039239,0,1.844,3507.627
find,1,8486922,0,0.033,3435.011
find,2,8591268,0,0.062,3412.609
find,2,8631660,0,0.035,3404.071
find,2,8561255,0,0.109,3423.65
find,3,8664666,0,0.05,3406.504
insert,0,11395964,11395964,0.07,885.106
insert,1,12099904,12099904,0.087,651.955
insert,2,12706641,12706641,0.06,513.411
insert,3,12736921,12736921,0.557,483.682
insert,3,12831596,12831596,0.059,472.488
new,3,12512895,12512895,0.073,479.836
