Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8404470,0,0.057,3447.855
find,1,8021880,0,4.055,3504.733
find,1,8030959,0,0.07,3493.19
find,2,8545514,0,0.053,3420.734
find,2,8309470,0,0.055,3448.86
find,3,8392573,0,2.009,3441.834
insert,0,11367490,11367490,0.092,883.877
insert,0,11366116,11366116,0.089,883.686
insert,1,12257749,12257749,0.051,660.296
insert,1,11490993,11490993,0.074,838.148
insert,2,12444465,12444465,0.06,508.171
insert,2,11710930,11710930,0.053,752.225
insert,3,12822478,12822478,0.025,474.293
insert,3,12780997,12780997,0.052,498.246
insert,3,13556166,13556166,0.041,499.269
new,0,7948665,0,2.974,3524.855
