Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,48175,5.359,3134.706,3127.0
find,1,48454,0.785,3133.291,3129.0
find,1,48567,0.821,3133.535,3139.0
find,1,48766,0.837,3134.533,3134.0
find,2,48066,0.679,3133.879,3122.0
find,2,47542,1.35,3133.892,3127.0
find,2,47474,1.104,3134.365,3131.0
find,3,51000,1.435,3132.126,3120.0
find,3,51697,1.745,3132.172,3126.0
find,3,51728,2.761,3132.619,3130.0
insert,0,12818689,0.303,1464.915,3181.0
insert,0,12847392,0.057,1463.206,3177.0
insert,0,13425821,0.039,1526.108,3187.0
insert,1,14194405,1.685,1613.24,3169.0
insert,2,14167944,3.164,1615.245,3167.0
insert,3,14093269,2.062,1607.463,3167.0
