Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,14625817,0,0.072,2658.897
find,0,14574976,0,0.053,2660.328
find,0,14602347,0,0.072,2661.6
find,0,14573405,0,0.072,2661.166
find,1,14733256,0,0.031,2631.655
insert,0,13505894,13505894,0.064,542.435
insert,0,13453951,13453951,0.054,540.228
insert,0,13472145,13472145,0.053,540.316
insert,0,13539443,13539443,0.079,533.181
insert,1,13483810,13483810,0.052,515.822
insert,1,13322218,13322218,0.046,505.18
insert,1,13515699,13515699,0.048,520.788
insert,1,13400395,13400395,0.052,552.839
insert,1,13363270,13363270,0.064,527.605
insert,1,13590557,13590557,0.049,514.493
