Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,26434053,2.973,419.821,3153.0
find,1,26357984,0.045,416.89,3149.0
find,1,26375659,0.014,416.894,3145.0
find,1,26414534,0.014,417.203,3156.0
find,2,26375881,0.019,416.506,3144.0
find,2,26373955,0.014,417.039,3143.0
find,2,26440997,0.032,416.536,3152.0
find,2,26395990,0.019,417.35,3145.0
find,3,26340508,0.018,416.377,3144.0
find,3,26391646,0.018,416.716,3142.0
find,3,26309288,0.018,416.257,3142.0
find,3,26350571,0.02,416.907,3144.0
insert,0,14208416,3.051,1613.004,3147.0
insert,0,14190831,0.043,1613.142,3146.0
insert,0,14220227,0.051,1613.924,3147.0
insert,0,14208144,1.458,1614.189,3148.0
