Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,204370,3.116,6265.868,6284.0
find,0,204456,3.104,6265.531,6297.0
find,1,206290,4.244,6263.841,6271.0
find,1,203634,2.036,6265.417,6279.0
find,1,203799,0.427,6265.934,6270.0
insert,0,28228353,2.885,3215.313,6313.0
insert,0,28304327,0.062,3215.267,6300.0
insert,1,28251226,2.237,3210.132,6309.0
