Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7209078,0,1.81,2573.575
find,0,8481428,0,1.713,3021.37
find,0,12274106,0,0.103,4396.471
find,1,12872642,0,0.079,4300.936
find,1,12439796,0,4.999,4363.18
find,2,12951749,0,0.061,4279.165
find,2,13007249,0,0.048,4271.258
insert,0,15461436,15461436,0.081,1076.776
insert,1,16425254,16425254,0.085,804.419
insert,2,15931631,15931631,1.401,585.467
insert,2,13799316,13799316,0.049,612.463
new,1,12437367,0,7.9,4372.105
