Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,52048,1.138,3133.922,3139.0
find,0,51270,0.861,3133.056,3153.0
find,0,51054,0.763,3132.831,3138.0
find,1,48744,0.756,3133.237,3136.0
find,1,48289,2.994,3133.548,3132.0
find,1,48841,0.791,3134.824,3133.0
find,2,47999,1.157,3131.829,3130.0
find,2,48463,0.803,3132.614,3133.0
find,2,48407,1.021,3134.512,3130.0
find,3,48387,0.722,3132.533,3139.0
find,3,48694,5.395,3132.776,3133.0
find,3,48685,0.791,3133.164,3133.0
insert,0,14147515,0.288,1607.029,3176.0
insert,1,14091987,0.038,1601.548,3183.0
insert,2,14145655,0.04,1608.598,3183.0
insert,3,13744899,0.034,1567.055,3178.0
