Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,26269348,0.017,415.97,3167.0
find,0,26268055,0.042,416.092,3172.0
find,0,26243149,0.265,416.504,3175.0
find,0,26236804,2.004,417.683,3178.0
find,1,48786,0.698,3132.492,3118.0
find,1,48734,0.763,3132.65,3124.0
find,1,48935,2.599,3133.263,3132.0
find,2,49792,4.567,3133.512,3125.0
find,2,50590,0.889,3133.092,3121.0
find,2,50464,1.211,3132.941,3128.0
find,3,49225,0.685,3132.652,3133.0
find,3,48830,0.75,3133.289,3129.0
find,3,48854,0.704,3133.277,3124.0
insert,1,14172790,0.568,1618.161,3174.0
insert,2,14117592,0.253,1613.634,3173.0
insert,3,14146828,0.823,1617.251,3177.0
