Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,49088,0.775,3133.074,3135.0
find,0,49110,0.795,3133.564,3128.0
find,1,48858,0.815,3132.85,3129.0
find,1,48650,1.557,3133.574,3129.0
find,1,48340,2.359,3134.365,3123.0
find,2,49913,1.431,3132.652,3128.0
find,2,50321,0.716,3133.193,3132.0
find,2,50133,3.2,3133.922,3136.0
find,3,49210,1.48,3132.418,3133.0
find,3,49339,3.315,3132.981,3135.0
find,3,48563,0.765,3132.853,3132.0
insert,0,12842496,1.996,1462.247,3189.0
insert,0,13857641,0.31,1572.16,3190.0
insert,1,14183536,0.044,1607.468,3170.0
insert,2,14146847,0.036,1609.415,3171.0
insert,3,14115702,0.036,1601.868,3172.0
