Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7955712,0,1.806,2700.735
find,0,12811834,0,1.37,4313.217
find,1,12941843,0,3.137,4289.062
find,1,12921978,0,0.047,4290.626
find,2,13017841,0,0.063,4279.341
find,2,13031465,0,0.06,4265.205
find,2,13045096,0,0.108,4268.973
insert,0,16833017,16833017,0.066,704.7
insert,0,16284406,16284406,0.154,891.243
insert,1,16939409,16939409,0.064,669.219
insert,1,16874137,16874137,0.516,674.368
new,2,16756053,16756053,0.054,628.966
