Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,51049,0.638,3134.109,3118.0
find,0,51922,0.871,3133.577,3117.0
find,0,52746,1.037,3135.036,3117.0
find,1,26373469,0.071,416.849,3151.0
find,1,26397965,0.028,416.689,3151.0
find,1,26390162,0.018,417.322,3157.0
find,1,26320964,0.019,416.746,3152.0
find,2,26368943,0.025,416.372,3151.0
find,2,26359482,0.046,416.713,3153.0
find,2,26352195,0.033,417.245,3152.0
find,2,26335521,0.027,416.789,3151.0
find,3,26317860,0.018,416.787,3153.0
find,3,26360073,0.018,416.994,3152.0
find,3,26324257,0.023,416.397,3154.0
find,3,26362604,0.017,416.631,3152.0
insert,0,14204252,0.248,1618.371,3156.0
