Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,49020,3.86,3134.645,3113.0
find,1,26444506,0.025,416.472,3152.0
find,1,26357264,0.03,416.29,3147.0
find,1,26529160,0.015,416.306,3158.0
find,1,26386376,0.015,416.507,3142.0
find,2,26424678,0.039,416.373,3148.0
find,2,26417781,0.029,416.185,3141.0
find,2,26397886,0.024,415.665,3154.0
find,2,26271328,0.018,415.676,3142.0
find,3,26325951,0.019,416.495,3145.0
find,3,26312133,0.027,416.049,3142.0
find,3,26336083,0.018,415.901,3144.0
find,3,26599236,0.034,417.586,3144.0
insert,0,14251451,0.306,1613.257,3160.0
insert,0,14196982,0.22,1610.946,3148.0
insert,0,14234066,0.539,1611.912,3157.0
