Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,12835284,0,0.052,4307.032
find,0,12832683,0,0.096,4316.902
find,0,12812628,0,4.97,4318.881
find,1,13057153,0,3.901,4274.128
find,1,13044428,0,3.936,4266.171
find,2,12879631,0,0.045,4297.991
find,2,12928481,0,0.125,4285.246
find,2,12968796,0,0.043,4286.26
insert,0,14245137,14245137,0.121,650.487
insert,1,17117821,17117821,0.066,631.021
insert,2,17013175,17013175,0.055,668.806
new,1,13031662,0,0.07,4273.431
