Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11214629,0,0.074,3271.997
find,0,11259725,0,1.266,3270.969
find,0,11250544,0,0.085,3267.075
find,0,11231996,0,5.024,3280.781
find,1,11321432,0,0.081,3248.288
find,1,11357083,0,0.063,3247.376
find,1,11338647,0,0.067,3249.394
find,1,11330257,0,0.05,3253.726
find,1,11294395,0,0.052,3255.484
find,1,11335394,0,0.087,3253.386
insert,0,13492752,13492752,0.082,528.372
insert,0,13476023,13476023,0.03,539.176
insert,0,13448300,13448300,7.886,547.552
insert,0,13424663,13424663,0.053,539.3
insert,1,13298811,13298811,0.045,504.655
