Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,26546605,0.243,420.074,3153.0
find,0,26545323,0.038,419.46,3145.0
find,0,26400995,0.016,416.732,3149.0
find,0,25674382,0.029,405.536,3147.0
find,1,26527291,0.029,419.656,3145.0
find,1,26561141,0.016,419.528,3145.0
find,1,26561414,0.033,419.703,3145.0
find,1,26540413,0.016,419.289,3145.0
find,2,26535753,0.017,419.558,3145.0
find,2,26588371,0.018,420.115,3145.0
find,2,26563905,0.018,420.261,3148.0
find,2,26517809,0.018,419.006,3146.0
find,3,26537566,0.019,419.793,3145.0
find,3,26517647,0.018,419.04,3144.0
find,3,26527845,0.018,419.521,3144.0
find,3,26492179,0.018,419.159,3144.0
