Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,52714807,2.932,838.883,6287.0
find,0,52693951,0.051,833.367,6291.0
find,0,52759227,0.042,834.162,6287.0
find,0,52742044,0.061,834.72,6294.0
insert,1,28404731,0.446,3224.303,6293.0
insert,1,28359347,2.956,3228.12,6290.0
insert,1,28383740,2.231,3225.034,6290.0
insert,1,28398838,1.798,3226.671,6289.0
