Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,12323288,0,1.225,4114.995
find,0,12310159,0,0.076,4110.858
find,1,12730786,0,4.011,4332.823
find,1,12717852,0,4.931,4329.476
find,2,13060619,0,0.06,4267.086
insert,0,16332319,16332319,0.089,799.451
insert,0,15697353,15697353,0.089,1020.231
insert,1,15520970,15520970,0.053,1080.347
insert,1,14826510,14826510,0.06,1032.933
insert,2,15708492,15708492,4.983,714.148
insert,2,17085660,17085660,0.052,628.641
new,2,13006384,0,0.583,4272.751
