Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,10586438,0,1.527,3599.406
find,0,12759488,0,2.009,4324.201
find,0,12779593,0,0.095,4324.048
find,1,12947421,0,4.251,4299.042
find,1,12847776,0,0.031,4302.672
find,1,12821448,0,0.23,4314.712
find,2,12993776,0,4.895,4275.516
insert,1,16820364,16820364,0.09,675.955
insert,2,16974014,16974014,3.802,627.079
insert,2,16903775,16903775,0.031,646.476
insert,2,16676582,16676582,0.054,625.52
new,0,15311118,15311118,2.327,1068.611
