Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,14110614,0,0.087,3127.958
find,0,14084360,0,0.506,3134.351
find,0,14057498,0,0.057,3135.134
find,0,14116282,0,0.058,3130.847
find,0,14077083,0,0.099,3129.238
find,0,14077468,0,0.157,3127.085
find,1,13852004,0,0.054,3181.492
insert,0,14522841,14522841,0.06,549.41
insert,1,14011241,14011241,0.053,699.41
insert,1,13975423,13975423,0.076,699.195
insert,1,13169184,13169184,5.206,658.416
insert,1,14393521,14393521,0.055,584.188
insert,1,14056420,14056420,0.052,699.367
insert,1,13975382,13975382,0.077,698.668
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,14110614,0,0.087,3127.958
find,0,14084360,0,0.506,3134.351
find,0,14057498,0,0.057,3135.134
find,0,14116282,0,0.058,3130.847
find,0,14077083,0,0.099,3129.238
find,0,14077468,0,0.157,3127.085
find,1,13852004,0,0.054,3181.492
insert,0,14522841,14522841,0.06,549.41
insert,1,14011241,14011241,0.053,699.41
insert,1,13975423,13975423,0.076,699.195
insert,1,13169184,13169184,5.206,658.416
insert,1,14393521,14393521,0.055,584.188
insert,1,14056420,14056420,0.052,699.367
insert,1,13975382,13975382,0.077,698.668
