Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,1,12914958,0,0.066,4291.055
find,2,12994527,0,0.047,4277.084
find,2,13025334,0,4.77,4272.306
find,2,13045537,0,3.93,4273.247
insert,0,16358258,16358258,0.077,893.374
insert,0,16325990,16325990,0.081,893.275
insert,0,16347535,16347535,4.582,896.409
insert,1,16621498,16621498,0.043,800.741
insert,1,16265787,16265787,0.072,810.472
insert,1,16556493,16556493,6.402,836.854
insert,2,17138549,17138549,0.05,631.032
new,0,12342172,0,4.968,4400.879
