Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,5723747,0,1.714,2350.789
find,0,8412178,0,2.21,3451.177
find,0,5431073,0,3.94,2232.595
find,1,8468243,0,0.068,3434.266
find,1,8484678,0,0.085,3437.369
find,2,8674029,0,0.068,3397.152
find,2,8709104,0,0.05,3394.335
find,2,8701875,0,2.636,3395.581
find,3,8602679,0,0.066,3411.167
find,3,8679378,0,0.401,3408.968
find,3,8625961,0,0.036,3408.486
insert,0,11167558,11167558,3.661,982.072
insert,1,10662910,10662910,0.04,440.878
insert,2,12832208,12832208,0.049,472.51
insert,3,11126654,11126654,0.046,438.077
new,1,8561398,0,0.05,3422.953
