Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8192953,0,0.052,3491.084
find,0,8227312,0,2.084,3490.372
find,1,8310613,0,0.058,3473.27
find,1,8538328,0,4.043,3430.754
find,2,8599858,0,0.042,3416.836
find,2,8595152,0,2.629,3419.943
find,3,8670357,0,0.19,3395.947
find,3,8727411,0,0.051,3392.31
insert,0,11719074,11719074,0.051,812.587
insert,0,11707196,11707196,0.317,812.821
insert,1,12215927,12215927,7.413,659.334
insert,1,11867794,11867794,0.054,765.655
insert,2,12368986,12368986,0.055,604.283
insert,3,13538226,13538226,0.052,498.1
insert,3,12753330,12753330,0.029,471.408
new,2,12440701,12440701,0.076,486.183
