Type of thread,Thread Id,Total Time,Worst Case Bucket,Worst Case Time,Number of Operations
futex,0,1369.089,0.753,0,1476706
futex,1,1366.505,0.045,0,1461032
futex,2,1359.435,0.051,0,1444144
futex,3,1365.037,0.034,0,1425514
futex,4,1370.683,0.126,0,1413534
futex,5,1345.544,0.041,0,1398720
futex,6,1345.798,0.039,0,1384358
futex,7,1448.342,0.073,0,1367692
futex,8,1331.798,0.075,0,1351036
futex,9,1332.335,0.031,0,1334744
futex,10,1339.848,0.037,0,1317854
futex,11,1313.771,0.088,0,1302126
futex,12,1304.117,0.039,0,1287188
futex,13,1313.676,0.041,0,1273740
futex,14,1297.343,0.288,0,1257630
futex,15,1286.053,0.152,0,1241278
futex,16,1276.214,0.063,0,1225544
futex,17,1304.434,0.081,0,1213480
futex,18,1277.744,0.037,0,1196956
futex,19,1263.461,0.05,0,1181526
futex,20,1278.511,0.086,0,1169554
futex,21,1238.216,0.041,0,1150196
futex,22,1229.643,0.038,0,1136088
futex,23,1231.175,0.033,0,1121236
futex,24,1225.208,0.037,0,1103456
futex,25,1202.6,0.037,0,1089662
futex,26,1200.484,0.057,0,1076156
futex,27,1189.903,0.038,0,1062218
futex,28,1177.609,0.037,0,1048150
futex,29,1163.643,0.052,0,1031378
futex,30,1148.558,0.12,0,1012814
futex,31,1134.917,0.036,0,998012
futex,32,1115.097,0.041,0,985836
futex,33,1103.571,0.055,0,971098
futex,34,1090.227,0.043,0,956482
futex,35,1074.948,0.028,0,939006
futex,36,1061.297,0.039,0,925086
futex,37,1041.783,0.037,0,911106
futex,38,1036.655,0.028,0,898070
futex,39,1013.212,0.035,0,880496
futex,40,1003.831,0.033,0,868572
futex,41,987.338,0.641,0,852476
futex,42,968.598,0.058,0,838796
futex,43,948.75,0.05,0,825440
futex,44,930.953,0.037,0,809830
futex,45,918.536,0.038,0,796354
futex,46,902.222,0.098,0,782986
futex,47,884.429,0.059,0,768524
futex,48,864.412,0.038,0,755212
futex,49,867.979,0.036,0,740484
futex,50,828.897,0.042,0,727456
futex,51,809.48,0.05,0,712388
futex,52,796.663,0.639,0,698960
futex,53,776.354,0.033,0,684386
futex,54,753.392,0.055,0,670216
futex,55,736.549,0.037,0,654000
futex,56,720.452,0.029,0,639838
futex,57,700.441,0.034,0,624764
futex,58,682.848,0.034,0,608510
futex,59,665.77,0.073,0,590694
futex,60,643.519,0.058,0,575406
futex,61,626.833,0.026,0,559456
futex,62,609.596,0.035,0,543230
futex,63,590.918,0.035,0,527590
insert,0,655.544,0.0,0,5972892
