Type of thread,Thread Id,Worst Case Bucket,Worst Case Time,Total Time,Number of Operations
futex,0,1,10.875,59.753,129804
futex,1,1,1.599,49.085,127128
futex,2,1,2.179,57.733,128516
futex,3,3,1.661,45.883,127792
futex,4,1,1.296,49.301,128972
futex,5,1,1.55,55.064,129624
futex,6,1,4.953,60.494,128358
futex,7,1,1.607,50.006,127886
futex,8,2,0.983,45.51,129058
futex,9,1,1.034,45.429,130446
futex,10,1,1.547,49.553,128418
futex,11,1,2.026,48.568,128866
futex,12,1,4.54,72.181,129330
futex,13,1,3.068,57.827,129256
futex,14,1,2.56,63.822,129462
futex,15,1,0.986,53.243,128980
insert,0,1,4.099,2619.887,101032063
