Type of thread,Thread Id,Total Time,Worst Case Bucket,Worst Case Time,Number of Operations
futex,0,1122.683,0.028,0,1551402
futex,1,1119.564,0.033,0,1531586
futex,2,1107.341,0.758,0,1517796
futex,3,1098.394,0.03,0,1497824
futex,4,1120.798,0.042,0,1484662
futex,5,1098.746,0.5,0,1467518
futex,6,1094.575,0.028,0,1455644
futex,7,1148.212,0.034,0,1430324
futex,8,1100.354,0.049,0,1420160
futex,9,1094.784,0.068,0,1406564
futex,10,1080.849,0.057,0,1385120
futex,11,1065.688,0.04,0,1375250
futex,12,1068.27,0.097,0,1355508
futex,13,1053.817,1.188,0,1343870
futex,14,1118.105,0.066,0,1326752
futex,15,1044.765,0.029,0,1311820
futex,16,1075.81,0.032,0,1298026
futex,17,1029.757,0.05,0,1287008
futex,18,1037.286,0.068,0,1266902
futex,19,1042.42,0.114,0,1253562
futex,20,1046.335,0.055,0,1235760
futex,21,1027.757,0.059,0,1218614
futex,22,1015.643,0.028,0,1207092
futex,23,992.42,0.033,0,1190572
futex,24,1017.736,0.057,0,1178848
futex,25,999.054,0.038,0,1157912
futex,26,995.306,1.016,0,1144076
futex,27,968.092,0.037,0,1132524
futex,28,983.585,0.032,0,1111702
futex,29,952.854,0.033,0,1099916
futex,30,957.772,0.042,0,1083662
futex,31,936.006,0.027,0,1070434
futex,32,922.253,0.03,0,1057862
futex,33,906.368,0.038,0,1043568
futex,34,911.763,0.036,0,1023470
futex,35,892.473,0.03,0,1010576
futex,36,885.547,0.033,0,990564
futex,37,867.541,0.035,0,980206
futex,38,861.587,0.032,0,963838
futex,39,842.67,0.027,0,948998
futex,40,829.412,0.106,0,934322
futex,41,816.372,0.033,0,919022
futex,42,806.181,0.031,0,904570
futex,43,794.679,0.992,0,891972
futex,44,786.539,0.032,0,874362
futex,45,770.82,0.753,0,856346
futex,46,761.153,0.028,0,840764
futex,47,747.433,0.037,0,827110
futex,48,734.435,0.031,0,812036
futex,49,727.031,0.309,0,795314
futex,50,708.073,0.029,0,782658
futex,51,695.286,0.036,0,766166
futex,52,677.144,0.025,0,752568
futex,53,665.32,0.11,0,732830
futex,54,649.534,0.027,0,720426
futex,55,637.649,0.028,0,702368
futex,56,624.042,0.04,0,685016
futex,57,606.005,0.025,0,670086
futex,58,590.707,1.323,0,654236
futex,59,575.114,1.057,0,635042
futex,60,558.375,0.025,0,619396
futex,61,545.516,0.95,0,601746
futex,62,530.735,0.038,0,586066
futex,63,517.91,0.037,0,567796
insert,0,1114.588,0.0,0,15621073
