Type of thread,Thread Id,Total Time,Worst Case Bucket,Worst Case Time,Number of Operations
futex,0,415.579,0.045,0,699866
futex,1,406.52,0.282,0,688176
futex,2,522.817,0.016,0,672996
futex,3,407.51,0.019,0,651460
futex,4,409.99,0.282,0,633250
futex,5,377.593,0.019,0,637114
futex,6,395.586,0.017,0,605624
futex,7,383.422,0.652,0,593458
futex,8,507.377,0.014,0,585782
futex,9,383.336,0.018,0,559084
futex,10,384.168,0.018,0,540742
futex,11,374.353,0.017,0,531646
futex,12,376.308,0.018,0,516960
futex,13,366.701,0.019,0,490748
futex,14,361.251,0.018,0,482372
futex,15,355.038,0.017,0,465638
insert,0,1821.606,0.0,0,103887109
