Type of thread,Thread Id,Worst Case Bucket,Worst Case Time,Total Time,Number of Operations
futex,0,0,4.461,38.228,100724
futex,1,7,9.346,46.505,101036
futex,2,1,0.575,33.159,101594
futex,3,1,0.753,35.321,101242
futex,4,1,0.385,35.359,100280
futex,5,1,0.9,36.68,101028
futex,6,1,28.742,79.619,99826
futex,7,3,2.506,39.902,100650
futex,8,1,3.109,47.196,100994
futex,9,1,3.449,41.242,100592
futex,10,1,1.877,36.744,101272
futex,11,1,2.153,37.713,101214
futex,12,6,8.87,53.294,101260
futex,13,4,1.723,36.582,102090
futex,14,0,3.394,41.031,101204
futex,15,1,3.31,37.723,101626
insert,0,1,16.549,4164.968,119933444
