Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,6043873,0.023,18828.969
find,1,2559517,0.088,6656.255
find,1,12088890,0.046,46717.734
find,1,3032370,0.041,8128.667
find,1,1727197,0.019,3792.349
insert,0,566,0.0,0.011
insert,0,594,0.0,0.014
insert,0,875,0.005,0.027
