Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,40914657,0,0.025,11819.952
find,0,79701,0,0.025,44.837
find,0,3798129,0,0.051,1189.725
find,0,41463241,0,0.022,12061.946
find,1,4031801,0,0.017,1031.786
find,1,3556293,0,0.017,912.794
find,1,21947761,0,0.021,5164.371
find,1,139510,0,0.016,61.434
find,1,3503822,0,0.032,925.324
find,1,4934337,0,0.034,1245.115
insert,0,101273,101273,0.006,20.519
insert,0,92354,92354,0.005,19.35
insert,0,100049,100049,0.053,20.059
insert,0,89277,89277,0.004,18.696
insert,1,493688,493688,0.017,89.636
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,40914657,0,0.025,11819.952
find,0,79701,0,0.025,44.837
find,0,3798129,0,0.051,1189.725
find,0,41463241,0,0.022,12061.946
find,1,4031801,0,0.017,1031.786
find,1,3556293,0,0.017,912.794
find,1,21947761,0,0.021,5164.371
find,1,139510,0,0.016,61.434
find,1,3503822,0,0.032,925.324
find,1,4934337,0,0.034,1245.115
insert,0,101273,101273,0.006,20.519
insert,0,92354,92354,0.005,19.35
insert,0,100049,100049,0.053,20.059
insert,0,89277,89277,0.004,18.696
insert,1,493688,493688,0.017,89.636
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,40914657,0,0.025,11819.952
find,0,79701,0,0.025,44.837
find,0,3798129,0,0.051,1189.725
find,0,41463241,0,0.022,12061.946
find,1,4031801,0,0.017,1031.786
find,1,3556293,0,0.017,912.794
find,1,21947761,0,0.021,5164.371
find,1,139510,0,0.016,61.434
find,1,3503822,0,0.032,925.324
find,1,4934337,0,0.034,1245.115
insert,0,101273,101273,0.006,20.519
insert,0,92354,92354,0.005,19.35
insert,0,100049,100049,0.053,20.059
insert,0,89277,89277,0.004,18.696
insert,1,493688,493688,0.017,89.636
