Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,49195444,0,37.248,14806.68
find,1,86992189,0,1.612,26630.535
find,1,11335885,0,20.885,4762.114
insert,0,5233218,5233218,0.016,375.32
insert,0,8144551,8144551,0.042,554.294
insert,0,6316739,6316739,0.054,461.686
insert,1,4141387,4141387,21.289,541.414
insert,1,5747115,5747115,0.037,409.179
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,49195444,0,37.248,14806.68
find,1,86992189,0,1.612,26630.535
find,1,11335885,0,20.885,4762.114
insert,0,5233218,5233218,0.016,375.32
insert,0,8144551,8144551,0.042,554.294
insert,0,6316739,6316739,0.054,461.686
insert,1,4141387,4141387,21.289,541.414
insert,1,5747115,5747115,0.037,409.179
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,49195444,0,37.248,14806.68
find,1,86992189,0,1.612,26630.535
find,1,11335885,0,20.885,4762.114
insert,0,5233218,5233218,0.016,375.32
insert,0,8144551,8144551,0.042,554.294
insert,0,6316739,6316739,0.054,461.686
insert,1,4141387,4141387,21.289,541.414
insert,1,5747115,5747115,0.037,409.179
