Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4574662,0,37.252,12086.76
find,1,4595023,0,37.251,12824.327
find,2,27512480,0,0.109,18623.395
find,3,15898552,0,0.024,8282.339
find,3,14806863,0,0.098,7679.855
insert,0,84008,84008,0.004,16.646
insert,0,142181,142181,0.005,31.56
insert,0,132652,132652,0.005,28.435
insert,1,56332,56332,0.004,12.682
insert,1,137376,137376,0.005,29.53
insert,1,133313,133313,0.011,29.593
insert,2,94189,94189,0.006,17.967
insert,2,59000,59000,0.002,13.349
insert,2,458163,458163,0.017,84.801
insert,3,463885,463885,0.017,98.975
insert,3,332753,332753,0.017,68.727
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4574662,0,37.252,12086.76
find,1,4595023,0,37.251,12824.327
find,2,27512480,0,0.109,18623.395
find,3,15898552,0,0.024,8282.339
find,3,14806863,0,0.098,7679.855
insert,0,84008,84008,0.004,16.646
insert,0,142181,142181,0.005,31.56
insert,0,132652,132652,0.005,28.435
insert,1,56332,56332,0.004,12.682
insert,1,137376,137376,0.005,29.53
insert,1,133313,133313,0.011,29.593
insert,2,94189,94189,0.006,17.967
insert,2,59000,59000,0.002,13.349
insert,2,458163,458163,0.017,84.801
insert,3,463885,463885,0.017,98.975
insert,3,332753,332753,0.017,68.727
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4574662,0,37.252,12086.76
find,1,4595023,0,37.251,12824.327
find,2,27512480,0,0.109,18623.395
find,3,15898552,0,0.024,8282.339
find,3,14806863,0,0.098,7679.855
insert,0,84008,84008,0.004,16.646
insert,0,142181,142181,0.005,31.56
insert,0,132652,132652,0.005,28.435
insert,1,56332,56332,0.004,12.682
insert,1,137376,137376,0.005,29.53
insert,1,133313,133313,0.011,29.593
insert,2,94189,94189,0.006,17.967
insert,2,59000,59000,0.002,13.349
insert,2,458163,458163,0.017,84.801
insert,3,463885,463885,0.017,98.975
insert,3,332753,332753,0.017,68.727
