Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,720682,0,21.289,626.179
find,0,22796028,0,26.607,8483.647
find,0,62535413,0,37.248,23548.631
find,1,120662447,0,0.027,23979.594
insert,0,736422,736422,0.015,51.385
insert,1,370864,370864,21.287,89.847
insert,1,333699,333699,0.015,24.018
insert,1,308120,308120,0.014,22.221
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,720682,0,21.289,626.179
find,0,22796028,0,26.607,8483.647
find,0,62535413,0,37.248,23548.631
find,1,120662447,0,0.027,23979.594
insert,0,736422,736422,0.015,51.385
insert,1,370864,370864,21.287,89.847
insert,1,333699,333699,0.015,24.018
insert,1,308120,308120,0.014,22.221
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,720682,0,21.289,626.179
find,0,22796028,0,26.607,8483.647
find,0,62535413,0,37.248,23548.631
find,1,120662447,0,0.027,23979.594
insert,0,736422,736422,0.015,51.385
insert,1,370864,370864,21.287,89.847
insert,1,333699,333699,0.015,24.018
insert,1,308120,308120,0.014,22.221
