Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,9132907,0,31.931,7072.352
find,1,1099172,0,37.251,950.001
find,2,31908486,0,0.043,18883.309
find,2,47220907,0,0.085,27736.055
insert,0,36108,36108,0.011,7.002
insert,0,32262,32262,0.005,6.127
insert,0,23596,23596,0.002,4.026
insert,1,33734,33734,0.006,6.371
insert,1,14801,14801,0.003,2.882
insert,1,31891,31891,0.007,6.232
insert,2,23058,23058,0.001,3.946
insert,2,20522,20522,21.29,25.32
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,9132907,0,31.931,7072.352
find,1,1099172,0,37.251,950.001
find,2,31908486,0,0.043,18883.309
find,2,47220907,0,0.085,27736.055
insert,0,36108,36108,0.011,7.002
insert,0,32262,32262,0.005,6.127
insert,0,23596,23596,0.002,4.026
insert,1,33734,33734,0.006,6.371
insert,1,14801,14801,0.003,2.882
insert,1,31891,31891,0.007,6.232
insert,2,23058,23058,0.001,3.946
insert,2,20522,20522,21.29,25.32
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,9132907,0,31.931,7072.352
find,1,1099172,0,37.251,950.001
find,2,31908486,0,0.043,18883.309
find,2,47220907,0,0.085,27736.055
insert,0,36108,36108,0.011,7.002
insert,0,32262,32262,0.005,6.127
insert,0,23596,23596,0.002,4.026
insert,1,33734,33734,0.006,6.371
insert,1,14801,14801,0.003,2.882
insert,1,31891,31891,0.007,6.232
insert,2,23058,23058,0.001,3.946
insert,2,20522,20522,21.29,25.32
