Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,27366435,0,37.252,48734.285
find,1,4504788,0,37.251,9019.18
find,2,9349693,0,0.117,2026.28
insert,0,81231,81231,0.004,15.22
insert,0,66947,66947,0.01,11.831
insert,0,79505,79505,0.008,14.43
insert,1,87420,87420,0.011,16.277
insert,1,37112,37112,0.007,6.792
insert,1,81867,81867,0.003,14.775
insert,2,36677,36677,0.002,6.874
insert,2,952338,952338,0.015,97.541
insert,2,65001,65001,0.002,11.622
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,27366435,0,37.252,48734.285
find,1,4504788,0,37.251,9019.18
find,2,9349693,0,0.117,2026.28
insert,0,81231,81231,0.004,15.22
insert,0,66947,66947,0.01,11.831
insert,0,79505,79505,0.008,14.43
insert,1,87420,87420,0.011,16.277
insert,1,37112,37112,0.007,6.792
insert,1,81867,81867,0.003,14.775
insert,2,36677,36677,0.002,6.874
insert,2,952338,952338,0.015,97.541
insert,2,65001,65001,0.002,11.622
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,27366435,0,37.252,48734.285
find,1,4504788,0,37.251,9019.18
find,2,9349693,0,0.117,2026.28
insert,0,81231,81231,0.004,15.22
insert,0,66947,66947,0.01,11.831
insert,0,79505,79505,0.008,14.43
insert,1,87420,87420,0.011,16.277
insert,1,37112,37112,0.007,6.792
insert,1,81867,81867,0.003,14.775
insert,2,36677,36677,0.002,6.874
insert,2,952338,952338,0.015,97.541
insert,2,65001,65001,0.002,11.622
