Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,22221980,0,26.61,17793.805
find,0,21819334,0,37.252,18063.852
find,1,133384,0,21.295,396.0
find,1,1024058,0,0.014,668.992
find,2,29203080,0,0.026,7889.783
insert,0,54718,54718,0.005,11.463
insert,0,30362,30362,0.007,5.718
insert,1,23771,23771,0.001,5.023
insert,1,22260,22260,0.002,4.702
insert,2,48504,48504,0.011,10.332
insert,2,17194,17194,0.001,3.17
insert,2,49402,49402,0.01,10.316
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,22221980,0,26.61,17793.805
find,0,21819334,0,37.252,18063.852
find,1,133384,0,21.295,396.0
find,1,1024058,0,0.014,668.992
find,2,29203080,0,0.026,7889.783
insert,0,54718,54718,0.005,11.463
insert,0,30362,30362,0.007,5.718
insert,1,23771,23771,0.001,5.023
insert,1,22260,22260,0.002,4.702
insert,2,48504,48504,0.011,10.332
insert,2,17194,17194,0.001,3.17
insert,2,49402,49402,0.01,10.316
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,22221980,0,26.61,17793.805
find,0,21819334,0,37.252,18063.852
find,1,133384,0,21.295,396.0
find,1,1024058,0,0.014,668.992
find,2,29203080,0,0.026,7889.783
insert,0,54718,54718,0.005,11.463
insert,0,30362,30362,0.007,5.718
insert,1,23771,23771,0.001,5.023
insert,1,22260,22260,0.002,4.702
insert,2,48504,48504,0.011,10.332
insert,2,17194,17194,0.001,3.17
insert,2,49402,49402,0.01,10.316
