Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4233648,0,26.61,2569.758
find,0,2959462,0,21.292,1635.301
find,1,79006,0,0.015,68.43
find,1,8965840,0,0.022,5560.357
find,2,29548454,0,0.037,15208.94
find,2,20400942,0,0.099,10470.43
find,2,33118109,0,0.039,17069.986
insert,0,56595,56595,0.007,11.599
insert,0,54594,54594,0.006,11.186
insert,1,25156,25156,21.289,26.503
insert,1,22789,22789,0.001,4.585
insert,2,50382,50382,0.009,9.981
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4233648,0,26.61,2569.758
find,0,2959462,0,21.292,1635.301
find,1,79006,0,0.015,68.43
find,1,8965840,0,0.022,5560.357
find,2,29548454,0,0.037,15208.94
find,2,20400942,0,0.099,10470.43
find,2,33118109,0,0.039,17069.986
insert,0,56595,56595,0.007,11.599
insert,0,54594,54594,0.006,11.186
insert,1,25156,25156,21.289,26.503
insert,1,22789,22789,0.001,4.585
insert,2,50382,50382,0.009,9.981
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4233648,0,26.61,2569.758
find,0,2959462,0,21.292,1635.301
find,1,79006,0,0.015,68.43
find,1,8965840,0,0.022,5560.357
find,2,29548454,0,0.037,15208.94
find,2,20400942,0,0.099,10470.43
find,2,33118109,0,0.039,17069.986
insert,0,56595,56595,0.007,11.599
insert,0,54594,54594,0.006,11.186
insert,1,25156,25156,21.289,26.503
insert,1,22789,22789,0.001,4.585
insert,2,50382,50382,0.009,9.981
