Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,35331927,0,21.302,14246.012
find,1,132167796,0,0.306,29109.453
insert,0,5714594,5714594,0.024,458.321
insert,0,6388112,6388112,0.015,489.583
insert,0,5620136,5620136,0.014,439.033
insert,1,2643011,2643011,21.29,419.076
insert,1,7508583,7508583,0.006,574.296
insert,1,5966300,5966300,0.021,456.736
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,35331927,0,21.302,14246.012
find,1,132167796,0,0.306,29109.453
insert,0,5714594,5714594,0.024,458.321
insert,0,6388112,6388112,0.015,489.583
insert,0,5620136,5620136,0.014,439.033
insert,1,2643011,2643011,21.29,419.076
insert,1,7508583,7508583,0.006,574.296
insert,1,5966300,5966300,0.021,456.736
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,35331927,0,21.302,14246.012
find,1,132167796,0,0.306,29109.453
insert,0,5714594,5714594,0.024,458.321
insert,0,6388112,6388112,0.015,489.583
insert,0,5620136,5620136,0.014,439.033
insert,1,2643011,2643011,21.29,419.076
insert,1,7508583,7508583,0.006,574.296
insert,1,5966300,5966300,0.021,456.736
