Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,836828,143.422,143.422
find,1,144191934,64762.277,64762.277
find,1,2924320,1107.556,1107.556
find,1,11990276,4989.575,4989.575
insert,0,192459,24.019,24.019
insert,0,190050,23.817,23.817
insert,0,80781,11.716,11.716
insert,1,149252,18.609,18.609
