Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
insert,0,50212193,4292.927,4292.927
insert,0,231767875,19614.395,19614.395
insert,0,46325329,3938.052,3938.052
insert,0,131964174,11181.762,11181.762
