Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,1937659,0,31.933,4321.106
find,1,1936757,0,31.935,5614.518
find,2,18402263,0,0.176,9952.817
find,3,4801991,0,0.028,3382.602
find,3,28867160,0,0.039,19488.725
find,3,23718528,0,0.031,15932.482
insert,0,85654,85654,0.011,18.562
insert,0,87956,87956,0.012,19.438
insert,0,83716,83716,0.011,18.848
insert,1,41528,41528,0.011,9.024
insert,1,89488,89488,0.011,20.144
insert,1,92452,92452,0.011,19.992
insert,2,86557,86557,0.011,20.174
insert,2,39838,39838,0.01,8.93
insert,2,411207,411207,0.018,90.461
insert,3,419394,419394,0.018,86.861
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,1937659,0,31.933,4321.106
find,1,1936757,0,31.935,5614.518
find,2,18402263,0,0.176,9952.817
find,3,4801991,0,0.028,3382.602
find,3,28867160,0,0.039,19488.725
find,3,23718528,0,0.031,15932.482
insert,0,85654,85654,0.011,18.562
insert,0,87956,87956,0.012,19.438
insert,0,83716,83716,0.011,18.848
insert,1,41528,41528,0.011,9.024
insert,1,89488,89488,0.011,20.144
insert,1,92452,92452,0.011,19.992
insert,2,86557,86557,0.011,20.174
insert,2,39838,39838,0.01,8.93
insert,2,411207,411207,0.018,90.461
insert,3,419394,419394,0.018,86.861
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,1937659,0,31.933,4321.106
find,1,1936757,0,31.935,5614.518
find,2,18402263,0,0.176,9952.817
find,3,4801991,0,0.028,3382.602
find,3,28867160,0,0.039,19488.725
find,3,23718528,0,0.031,15932.482
insert,0,85654,85654,0.011,18.562
insert,0,87956,87956,0.012,19.438
insert,0,83716,83716,0.011,18.848
insert,1,41528,41528,0.011,9.024
insert,1,89488,89488,0.011,20.144
insert,1,92452,92452,0.011,19.992
insert,2,86557,86557,0.011,20.174
insert,2,39838,39838,0.01,8.93
insert,2,411207,411207,0.018,90.461
insert,3,419394,419394,0.018,86.861
