Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,2423988,0,21.297,1965.414
find,0,2322961,0,21.299,2325.611
find,1,7354235,0,37.258,35590.676
find,1,3015583,0,37.255,13387.915
find,2,9944636,0,0.02,4380.131
find,2,11043152,0,0.036,4871.193
find,3,385224,0,0.074,823.793
find,3,1356740,0,0.09,2872.515
insert,0,245346,245346,0.002,36.032
insert,0,86539,86539,0.006,18.382
insert,1,45169,45169,15.969,26.577
insert,1,44892,44892,21.289,31.284
insert,2,243359,243359,0.007,35.9
insert,2,99993,99993,0.007,20.676
insert,3,44650,44650,0.005,10.414
insert,3,33378,33378,0.004,7.508
