Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,2519224,0,21.292,2258.74
find,0,2672452,0,21.313,2741.875
find,0,768260,0,21.309,574.969
find,1,17654599,0,0.035,12394.725
find,1,20038129,0,0.028,14196.381
find,1,15050680,0,0.028,11645.648
find,2,3533848,0,0.074,4384.414
find,2,1853123,0,0.044,2143.013
find,2,951926,0,0.05,972.786
find,3,512202,0,0.064,659.412
find,3,3081493,0,0.041,4640.399
find,3,3194131,0,0.092,4771.327
insert,0,186882,186882,0.018,27.559
insert,1,118051,118051,21.289,46.321
insert,2,75766,75766,0.017,18.547
insert,3,58222,58222,0.017,13.53
