Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,1346151,0.539,15285.618
find,0,2218981,0.325,14617.327
find,1,6241941,0.289,55545.348
insert,0,32143,0.003,0.471
insert,0,25400,0.003,0.387
insert,1,22582,0.012,0.35
insert,1,22975,0.003,0.35
insert,1,23031,0.002,0.349
