Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,17078178,0,0.016,4856.617
find,0,24006815,0,1.832,4692.114
find,0,25310315,0,0.026,7452.251
find,0,29029099,0,0.034,8576.941
find,1,17983545,0,0.351,3389.843
insert,0,1492541,1492541,0.024,209.017
insert,0,902860,902860,0.011,189.64
insert,0,1694814,1694814,0.011,235.281
insert,0,911382,911382,0.006,202.027
insert,1,662296,662296,0.017,147.797
insert,1,1699929,1699929,0.012,241.757
insert,1,737198,737198,0.017,154.705
insert,1,613433,613433,0.017,138.617
insert,1,1470360,1470360,0.015,209.445
insert,1,712040,712040,0.017,149.554
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,17078178,0,0.016,4856.617
find,0,24006815,0,1.832,4692.114
find,0,25310315,0,0.026,7452.251
find,0,29029099,0,0.034,8576.941
find,1,17983545,0,0.351,3389.843
insert,0,1492541,1492541,0.024,209.017
insert,0,902860,902860,0.011,189.64
insert,0,1694814,1694814,0.011,235.281
insert,0,911382,911382,0.006,202.027
insert,1,662296,662296,0.017,147.797
insert,1,1699929,1699929,0.012,241.757
insert,1,737198,737198,0.017,154.705
insert,1,613433,613433,0.017,138.617
insert,1,1470360,1470360,0.015,209.445
insert,1,712040,712040,0.017,149.554
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,17078178,0,0.016,4856.617
find,0,24006815,0,1.832,4692.114
find,0,25310315,0,0.026,7452.251
find,0,29029099,0,0.034,8576.941
find,1,17983545,0,0.351,3389.843
insert,0,1492541,1492541,0.024,209.017
insert,0,902860,902860,0.011,189.64
insert,0,1694814,1694814,0.011,235.281
insert,0,911382,911382,0.006,202.027
insert,1,662296,662296,0.017,147.797
insert,1,1699929,1699929,0.012,241.757
insert,1,737198,737198,0.017,154.705
insert,1,613433,613433,0.017,138.617
insert,1,1470360,1470360,0.015,209.445
insert,1,712040,712040,0.017,149.554
