Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13101219,0,31.932,10703.496
find,0,18632420,0,31.93,16190.772
find,1,401376,0,0.021,571.076
find,1,1687296,0,0.022,1087.992
find,2,30087380,0,0.045,8752.579
find,2,25320411,0,0.035,7377.11
insert,0,56774,56774,0.008,10.802
insert,0,93096,93096,0.01,18.063
insert,1,37809,37809,21.288,28.645
insert,1,39799,39799,0.002,7.931
insert,2,88239,88239,0.003,17.625
insert,2,92343,92343,0.006,17.932
