Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,17174582,0,37.26,47661.875
find,1,115523,0,21.296,431.967
find,2,12406168,0,31.933,14505.423
find,3,1816416,0,0.048,984.559
insert,0,131323,131323,0.011,26.91
insert,0,118244,118244,0.014,22.427
insert,0,152129,152129,0.049,31.62
insert,1,116767,116767,0.005,22.506
insert,1,68080,68080,21.29,72.955
insert,1,134362,134362,0.004,27.233
insert,2,50378,50378,0.004,10.969
insert,2,565699,565699,0.016,93.552
insert,2,125322,125322,0.006,26.072
insert,3,455174,455174,0.017,79.789
insert,3,145742,145742,21.289,48.549
insert,3,419790,419790,0.017,78.005
