Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,64482,0,0.019,81.591
find,0,540927,0,37.252,1674.192
find,0,604447,0,21.297,1481.437
find,1,30657,0,0.014,53.859
find,1,640337,0,21.3,2302.673
find,1,24460,0,0.016,42.854
find,2,20735743,0,0.065,23826.682
find,2,20000238,0,0.191,22885.57
find,2,12374049,0,0.14,14181.577
find,3,722416,0,0.018,278.43
insert,0,12673,12673,0.01,2.67
insert,1,10839,10839,21.293,23.613
insert,2,11998,11998,15.97,18.474
insert,3,10485,10485,0.011,2.264
insert,3,10266,10266,0.006,2.195
insert,3,20194,20194,0.009,4.186
