Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,650991,0.172,5033.28,14015
find,0,1978117,0.387,34582.855,14015
find,0,435531,0.249,1706.867,14015
find,1,998509,0.153,3308.068,14015
find,1,1643615,0.082,5343.792,14015
insert,0,21809,0.04,2.291,14015
insert,1,23628,0.032,2.407,14015
insert,1,68890,0.029,5.443,14015
