Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,788881,0,0.034,186.705
find,1,13852847,0,0.168,5586.649
find,1,34012583,0,0.228,14478.74
find,1,26802150,0,0.027,10856.349
find,1,38606193,0,0.307,16401.355
find,1,1917418,0,15.97,896.414
find,1,156594,0,0.025,115.084
insert,0,82221,82221,0.002,18.075
insert,0,87145,87145,0.01,19.017
insert,0,305697,305697,0.017,56.363
insert,0,318826,318826,0.018,59.383
insert,0,91733,91733,0.011,19.741
insert,0,86206,86206,0.006,18.859
insert,1,271914,271914,0.018,53.586
