Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,289972,10536.457,10536.825
find,0,291635,10552.906,10699.195
find,0,289634,10546.129,10722.628
find,1,291082,10549.755,10715.573
find,1,290611,10556.683,10708.688
find,1,290981,10549.871,10535.813
find,2,288419,10534.66,10534.638
find,2,291334,10565.604,10706.254
find,2,286828,10552.005,10714.374
insert,0,17710525,3322.958,10720.41
insert,1,17650530,3289.128,10719.376
insert,2,16983001,3162.371,10723.447
insert,3,22689521,4159.68,10669.919
insert,3,22519248,4121.32,10657.321
insert,3,22684566,4158.5,10677.366
insert,3,22358774,4090.575,10674.702
