Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,34938,3540.555,3497.355
find,0,34647,3541.452,3506.278
find,0,34839,3542.209,3513.625
find,1,32460,3542.282,3470.29
find,1,32550,3541.833,3481.874
find,1,32700,3542.66,3469.177
find,2,49880,5312.451,5286.545
find,2,50965,5313.012,5284.138
find,2,49845,5314.274,5273.316
find,3,50745,5314.379,5272.146
find,3,50750,5314.958,5282.209
find,3,51033,5315.076,5272.752
find,4,34273,3542.745,3510.918
find,4,34525,3541.337,3494.214
find,4,34167,3543.555,3511.19
insert,0,5781384,1283.92,3623.275
insert,1,5485944,1415.908,3590.815
insert,2,8311326,1978.448,5374.796
insert,3,8643959,2000.484,5366.526
insert,4,5417127,1413.689,3601.205
insert,5,5978123,1344.172,3587.085
insert,5,5840719,1397.433,3588.83
insert,5,5331311,1595.067,3593.426
insert,5,5265401,1583.304,3592.801
insert,6,8307141,2106.245,5367.831
insert,6,8159188,2083.625,5365.566
insert,6,8003039,2190.721,5374.949
insert,6,8107800,2107.308,5369.182
insert,7,7784685,2244.909,5381.943
insert,7,8136675,2146.654,5380.34
insert,7,8859885,2009.617,5372.466
insert,7,8450778,2068.094,5368.832
insert,8,5344321,1411.652,3611.56
insert,8,5103030,1566.494,3600.65
insert,8,4903354,1601.167,3611.708
insert,8,5296846,1402.645,3619.022
insert,9,5829917,1389.176,3587.905
insert,9,6170151,1289.465,3580.647
insert,9,5618263,1510.102,3582.888
insert,9,6100408,1310.132,3586.693
