Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,62999,5310.923,5327.122
find,0,62762,5311.911,5301.777
find,0,62677,5311.738,5328.556
find,1,67221,5313.225,5305.216
find,1,66243,5312.428,5293.493
find,1,66749,5313.136,5318.495
find,2,64578,5311.435,5306.312
find,2,62782,5312.138,5299.315
find,2,63069,5313.898,5300.538
find,3,69526,5314.41,5308.321
find,3,70104,5313.553,5330.957
find,3,69529,5314.958,5308.189
find,4,65499,5310.97,5317.86
find,4,65179,5308.023,5350.278
find,4,65596,5313.801,5321.469
insert,0,8625314,2130.421,5383.358
insert,1,9663588,2021.966,5360.495
insert,2,8661801,2096.068,5365.541
insert,3,9836801,1833.529,5356.876
insert,4,8391199,2130.015,5364.747
insert,5,8976239,2136.769,5348.379
insert,5,10206813,1962.768,5355.777
insert,5,9120011,2053.358,5357.385
insert,5,8671878,2114.824,5350.367
insert,6,8356131,2275.927,5362.517
insert,6,9325993,2051.169,5340.747
insert,6,9050734,2176.589,5356.886
insert,6,8907665,2153.621,5364.46
insert,7,9176639,1897.037,5342.667
insert,7,9832233,2308.805,5346.995
insert,7,10842494,2072.202,5346.24
insert,7,8875706,2179.28,5354.737
