Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,289759,10571.904,10528.396
find,0,290051,10561.613,10717.608
find,0,293367,10565.916,10719.627
find,1,293882,10574.328,10714.444
find,1,291014,10568.109,10544.383
find,1,291943,10565.283,10710.98
find,2,288943,10577.923,10581.605
find,2,289720,10574.067,10671.756
find,2,286297,10572.847,10713.83
find,3,290224,10572.927,10538.159
find,3,289837,10570.514,10707.235
find,3,290262,10553.153,10706.017
insert,0,22362499,4118.855,10711.01
insert,1,22620338,4141.927,10709.67
insert,2,21475563,3933.112,10711.674
insert,3,22621433,4141.536,10728.029
