Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,34830,3541.539,3508.453
find,0,34353,3542.489,3512.127
find,0,34868,3542.406,3518.463
find,1,33120,3542.599,3523.392
find,1,33693,3543.349,3510.741
find,1,33471,3543.263,3506.862
find,2,50677,5312.668,5276.689
find,2,49298,5315.324,5285.478
find,2,50864,5312.882,5287.034
find,3,50382,5313.831,5263.887
find,3,50301,5311.968,5266.243
find,3,50483,5315.034,5291.481
find,4,33797,3542.802,3509.088
find,4,33302,3541.878,3513.196
find,4,33555,3542.225,3511.405
find,5,33426,3541.155,3500.024
find,5,32720,3541.605,3490.025
find,5,32835,3542.536,3509.161
insert,0,6286842,1300.136,3613.243
insert,1,5656790,1451.391,3608.92
insert,2,8597206,2150.32,5368.249
insert,3,9145249,2134.326,5371.012
insert,4,5632820,1451.692,3610.365
insert,5,5565489,1433.22,3618.392
insert,6,9235668,1935.146,5367.778
insert,6,8321325,2241.405,5376.009
insert,6,8770859,2013.984,5362.095
insert,6,8977411,2070.201,5374.113
insert,7,7863646,2380.065,5374.846
insert,7,8788772,2070.219,5381.061
insert,7,8552390,2262.636,5376.496
insert,7,8936427,2121.0,5370.396
insert,8,5591895,1489.287,3598.365
insert,8,5694246,1479.743,3607.689
insert,8,6040295,1383.544,3596.438
insert,8,6221136,1258.615,3603.128
insert,9,5134280,1717.871,3607.615
insert,9,5236461,1610.998,3603.718
insert,9,5465692,1637.755,3603.642
insert,9,5745515,1467.001,3614.026
