Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,289732,10517.642,10693.923
find,0,289455,10503.76,10706.747
find,0,289006,10514.265,10570.146
insert,0,15882898,3020.431,10707.741
insert,1,13261402,5748.932,10659.763
insert,1,18489713,3444.09,10666.242
insert,1,18271159,3373.607,10685.746
insert,1,18317697,3390.431,10668.509
insert,2,17937855,2939.451,10654.125
insert,2,12063929,6118.705,10665.913
insert,2,17259392,3967.788,10695.574
insert,2,10224302,6124.47,10664.757
insert,3,16595692,3853.216,10662.185
insert,3,10653619,6235.02,10671.435
insert,3,11652442,5801.87,10670.699
insert,3,11290774,5982.95,10675.854
