Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,64050,5312.174,5300.184
find,0,64274,5312.076,5312.987
find,0,61689,5309.646,5319.592
find,1,64359,5312.923,5316.065
find,1,63898,5313.481,5312.204
find,1,65847,5313.838,5331.805
find,2,65862,5311.389,5315.601
find,2,65604,5311.629,5322.011
find,2,63713,5314.098,5327.616
find,3,70373,5314.013,5316.557
find,3,70497,5313.108,5313.215
find,3,70588,5313.878,5316.969
find,4,69828,5311.602,5318.691
find,4,70598,5312.982,5336.177
find,4,70386,5313.174,5333.999
find,5,65413,5311.237,5306.479
find,5,64854,5311.778,5311.819
find,5,64544,5313.489,5326.485
find,6,62247,5312.227,5316.108
find,6,63103,5309.667,5331.129
find,6,61030,5312.42,5314.279
insert,0,9996516,2076.843,5389.848
insert,1,9581301,2027.683,5384.187
insert,2,9873058,2034.158,5387.56
insert,3,11411288,2086.659,5343.747
insert,4,10637527,1951.568,5383.621
insert,5,10008572,2062.188,5395.232
insert,6,9099938,2320.203,5381.344
insert,7,10742587,2144.737,5351.625
insert,7,11913636,2042.307,5345.48
insert,7,10100063,2487.51,5348.522
insert,7,11111548,2261.41,5355.557
