Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,64824,5311.777,5341.209
find,0,65194,5312.659,5323.179
find,0,62443,5312.346,5303.088
find,1,64243,5313.105,5317.208
find,1,64301,5311.469,5310.525
find,1,65494,5314.478,5348.586
find,2,63913,5310.48,5331.751
find,2,61428,5311.605,5300.032
find,2,63328,5311.346,5322.755
find,3,70087,5313.611,5334.639
find,3,70097,5314.021,5337.283
find,3,70252,5315.325,5324.063
find,4,70385,5312.838,5317.892
find,4,70060,5311.872,5341.78
find,4,69703,5314.427,5319.386
find,5,63474,5313.207,5312.388
find,5,65218,5313.451,5318.248
find,5,65165,5310.814,5342.643
find,6,65865,5312.812,5333.577
find,6,65492,5313.332,5315.637
find,6,64997,5313.589,5315.63
find,7,64091,5311.546,5325.665
find,7,63585,5308.146,5332.359
find,7,60333,5308.958,5292.225
insert,0,11099249,2242.799,5385.071
insert,1,10904546,2207.882,5377.881
insert,2,10543608,2171.854,5384.867
insert,3,11207113,2070.927,5365.312
insert,4,10825840,2001.878,5358.71
insert,5,10869511,2178.285,5368.392
insert,6,10512351,2175.017,5391.453
insert,7,11007269,2259.701,5379.293
